PyECLOUD Version 8.6.0
git hash: b'4069f92c1befdc7e1ff787b95aa81c111f73ff56'
git branch: b'master'
Simulation started on 20 Mar 2022 13:24:47
Initialization finished on 20 Mar 2022 13:25:40
20 Mar 2022 13:28:50 pass. 178/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:28:51 pass. 179/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:28:52 pass. 180/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:28:54 pass. 181/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:28:55 pass. 182/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:28:56 pass. 183/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:28:57 pass. 184/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:28:58 pass. 185/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:28:59 pass. 186/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:29:00 pass. 187/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:29:02 pass. 188/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:29:03 pass. 189/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:29:04 pass. 190/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:29:05 pass. 191/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:29:06 pass. 192/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:29:07 pass. 193/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:29:08 pass. 194/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:29:09 pass. 195/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:29:11 pass. 196/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:29:12 pass. 197/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:29:13 pass. 198/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
